timestamp,dryer_zone_1_temp_c,dryer_zone_2_temp_c,web_tension_n,line_speed_m_min,fan_frequency_hz,drive_current_a,thickness_um
2026-07-15T13:58:00+08:00,88.0,89.1,120.5,42.0,48.0,11.8,100.8
2026-07-15T14:00:00+08:00,88.1,89.0,120.8,42.0,47.8,11.9,100.9
2026-07-15T14:02:00+08:00,88.3,89.8,121.2,42.0,46.5,12.0,101.1
2026-07-15T14:04:00+08:00,89.0,90.9,121.5,42.0,44.8,12.1,101.5
2026-07-15T14:06:00+08:00,89.8,92.3,121.8,41.9,43.2,12.3,102.0
2026-07-15T14:08:00+08:00,90.5,93.8,122.0,41.9,42.0,12.4,102.8
2026-07-15T14:10:00+08:00,91.2,95.1,122.3,41.8,41.5,12.5,103.5
2026-07-15T14:12:00+08:00,91.8,96.0,122.5,41.8,41.8,12.6,104.2
2026-07-15T14:14:00+08:00,91.5,95.5,122.2,41.9,42.5,12.5,103.8
2026-07-15T14:16:00+08:00,91.0,94.2,121.9,42.0,43.8,12.3,103.2
2026-07-15T14:18:00+08:00,90.2,92.5,121.5,42.0,45.5,12.1,102.5
2026-07-15T14:20:00+08:00,89.5,91.0,121.0,42.0,47.0,12.0,101.8
2026-07-15T14:22:00+08:00,88.8,90.0,120.5,42.0,48.0,11.9,101.2
2026-07-15T14:24:00+08:00,88.2,89.3,120.2,42.0,48.0,11.8,100.9
2026-07-15T14:26:00+08:00,88.0,89.0,120.0,42.0,48.0,11.8,100.8
2026-07-15T14:28:00+08:00,88.0,89.1,120.0,42.0,48.0,11.8,100.8
2026-07-15T14:30:00+08:00,88.0,89.0,120.0,42.0,48.0,11.8,100.8
