timestamp,dryer_zone_1_temp_c,dryer_zone_2_temp_c,web_tension_n,line_speed_m_min,fan_frequency_hz,drive_current_a,thickness_um
2026-08-22T08:58:00+08:00,88.0,89.0,120.5,42.0,48.0,11.8,100.5
2026-08-22T09:00:00+08:00,88.1,89.1,120.8,42.0,48.0,11.9,100.6
2026-08-22T09:02:00+08:00,88.0,89.0,121.5,42.0,48.0,12.2,100.7
2026-08-22T09:04:00+08:00,88.1,89.2,124.8,42.0,48.0,12.8,100.9
2026-08-22T09:06:00+08:00,88.0,89.0,129.3,41.9,48.0,13.5,101.2
2026-08-22T09:08:00+08:00,88.1,89.1,133.7,41.8,48.0,14.2,101.8
2026-08-22T09:10:00+08:00,88.0,89.0,136.5,41.7,48.0,14.8,102.5
2026-08-22T09:12:00+08:00,88.1,89.2,138.1,41.6,48.0,15.2,103.2
2026-08-22T09:14:00+08:00,88.0,89.1,137.0,41.7,48.0,14.9,103.8
2026-08-22T09:16:00+08:00,88.1,89.0,134.2,41.8,48.0,14.3,104.1
2026-08-22T09:18:00+08:00,88.0,89.1,131.5,41.9,48.0,13.8,104.8
2026-08-22T09:20:00+08:00,88.1,89.0,128.8,42.0,48.0,13.2,105.3
2026-08-22T09:22:00+08:00,88.0,89.2,126.0,42.0,48.0,12.6,104.5
2026-08-22T09:24:00+08:00,88.1,89.0,123.5,42.0,48.0,12.1,103.2
2026-08-22T09:26:00+08:00,88.0,89.1,121.8,42.0,48.0,11.9,101.8
2026-08-22T09:28:00+08:00,88.0,89.0,120.8,42.0,48.0,11.8,100.9
2026-08-22T09:30:00+08:00,88.1,89.1,120.5,42.0,48.0,11.8,100.6
